instance_id	lang	target_ref	gold_reward_raw	gold_reward_corrected	agent_reward	agent_patch_empty	agent_patch_applied	status	gold_verifier_rc	agent_verifier_rc
bandit-incremental-cache-control	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7drfg2vkvdvfh9xx0nfd5pz9821xr7	1	1	None	True	False	unsolved_valid	0	None
arktype-json-schema-refs-dependencies	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh771gpr8crkjsnt9pj81bafgs8229em	1	1	None	True	False	unsolved_valid	0	None
dasel-html-document-format	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7c7rrg3zke74w7068nawak9x82t6am	1	1	None	True	False	unsolved_valid	0	None
bandit-interprocedural-taint-checks	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh77yap0nc4zwm5bysc954xbr182tptg	1	1	None	True	False	unsolved_valid	0	None
boa-hierarchical-evaluation-cancellation	rust	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71kat2v58yys3pnyybkgycax832vj2	1	1	None	True	False	unsolved_valid	0	None
drizzle-orm-window-function-builders	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh70cshdjenz3z5gq2wrqzhjmn82xbb0	1	1	0	False	True	unsolved_valid	0	0
dynamodb-toolbox-conditional-attribute-requirements	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh79xyw12drtaz3reht4enc2hs83ef6v	1	1	None	False	False	unsolved_valid	0	None
dynamodb-toolbox-lazy-recursive-schemas	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh72mtcjbhgxmwq036jccx77dh83dj5n	1	1	None	False	False	unsolved_valid	0	None
clack-async-autocomplete-options	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh78c5dwwna57y757p2y5ktw79836dnv	1	1	0	False	True	unsolved_valid	0	0
etree-xml-diff-patch	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7e0e2z02keqh6j7db6bcg1c9822140	1	1	0	False	True	unsolved_valid	0	0
effect-sse-httpapi-streaming	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7ajcjberhnnhk914qezwwt0x830v6v	1	1	None	True	False	unsolved_valid	0	None
dateutil-rfc5545-timezone-interop	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7czqrrmrm1vnwfx1nhtjh9as833esn	1	1	0	False	True	unsolved_valid	0	0
arcane-drift-detection-baselines	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh70nj38qyatmsmj1d5zh57j25820vrx	1	1	0	False	True	unsolved_valid	0	0
expr-try-catch-errors	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71gkadwafw4ry4r6g37era0182qpms	1	1	0	False	True	unsolved_valid	0	0
go-critic-doc-link-checker	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh727w7pxd9cv476t3cxptxcg182e1e5	1	1	None	True	False	unsolved_valid	0	None
go-git-worktree-merge-conflicts	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7bnb92eb32zvxx50fzjnshes822db0	1	1	None	True	False	unsolved_valid	0	None
geo-shapeindex-serialization	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh74gd4v9cty7573mr6k7va39183ngrq	1	1	0	False	True	unsolved_valid	0	0
fastapi-deprecation-response-headers	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh75azsnb5eqs3mf4xm0zkzha582rvcd	1	1	0	False	True	unsolved_valid	0	0
fd-deterministic-multi-key-sorting	rust	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh79s1ny2ab454f8caet44rv5n82za06	1	1	0	False	True	unsolved_valid	0	0
fastapi-implicit-head-options	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7191qb52n5pfwh0a4yhahmt18343sn	1	1	None	True	False	unsolved_valid	0	None
happy-dom-abort-pending-body-reads	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7c2re7cvbseq7xz6samd1xr182y1dc	1	1	0	False	True	unsolved_valid	0	0
gql-incremental-graphql-delivery	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh79vjbp8dv1pyk7t09zdb9xx9821628	1	1	None	True	False	unsolved_valid	0	None
happy-dom-deterministic-intersectionobserver	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh75ggdejhnymjbhkbtkxvhz758352br	1	1	0	False	True	unsolved_valid	0	0
goreleaser-retry-publish-auditing	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7cc4hqw7wb87h3kwwnkq0pv1830gjz	1	1	None	False	False	unsolved_valid	0	None
httpx-deterministic-cookie-store	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7ccr1w93zymhy42k5hs2m9w1831xpx	0	1	0	False	True	task_broken_gold_fail	0	0
helm-unified-manifest-stream	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7dvkse99x41x83c5z6f2eq7n82w8fm	1	1	None	True	False	unsolved_valid	0	None
httpx-multipart-response-parsing	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7fr6f1yw1289ye5ttsfvaqen8319dq	0	1	0	False	True	task_broken_gold_fail	0	0
httpx-streaming-json-iteration	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh73snc7v9x3psk69rg4eqvjgs836v5a	0	1	0	False	True	task_broken_gold_fail	0	0
helm-array-merge-strategies	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh72a3qcr0kjpdr153havavn8s83bx8t	1	1	None	True	False	unsolved_valid	0	None
igel-persist-feature-schema	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7brwh7cv23ggeshkz85ac5fx831x5k	1	1	None	True	False	unsolved_valid	0	None
ipython-session-bundle-replay	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh75kn07w0t92m4xxd3dy0cgp982jz6m	1	1	None	True	False	unsolved_valid	0	None
go-genai-streamed-function-args	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7ahy57bb3jmdjzmbvq257swh8353nm	1	1	None	True	False	unsolved_valid	0	None
kcp-go-multiplexed-kcp-streams	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh72w47mwm321wh9xj47vskc8d822e9t	1	1	None	True	False	unsolved_valid	0	None
katex-multicolumn-array-spans	javascript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7fkjmy67qny9z98mt6bj52m182ygdy	1	1	None	False	False	unsolved_valid	0	None
ink-grid-box-layout	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh75wxkjyha9441e7m9tpetb2582mn63	1	1	None	True	False	unsolved_valid	0	None
kea-atomic-signal-selectors	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7anwezzyc0zgk160c9peh13n82r12z	1	1	None	True	False	unsolved_valid	0	None
koota-pair-relation-tracking	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7cshjqfe84fmtb2ye37nrd6h82dds6	1	1	None	True	False	unsolved_valid	0	None
koota-deferred-mutation-buffer	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7evrvtwkk64hraqvefgx9ndd821j43	1	1	0	False	True	unsolved_valid	0	0
koota-composite-trait-aspects	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh705e1hgmtj22pyetcmqa8ygs83bh33	1	1	0	False	True	unsolved_valid	0	0
koota-entity-snapshot-rollback	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71b98xenay7p45357036xq5x82tcdf	1	1	None	True	False	unsolved_valid	0	None
kombu-single-active-consumer-priority	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71vrtr4b1jj5vavv6aybnvjd83pcar	1	1	None	True	False	unsolved_valid	0	None
kombu-virtual-queue-dead-lettering	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh72pgvncj82fnbfq2bvmy1qs183jdc5	1	1	None	True	False	unsolved_valid	0	None
koota-query-predicates	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7dkes3xb054yt1fd3g6nym5s83bz2h	1	1	0	False	True	unsolved_valid	0	0
langchain-request-coalescing	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71y4gxtry9p0m42wvg4th515831mwz	0	0	0	False	True	task_broken_gold_fail	0	0
mobly-grouped-test-barriers	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh74b2m0tjfn59vq8btqrj774s821570	1	1	None	True	False	unsolved_valid	0	None
meriyah-explicit-resource-declarations	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7398skqnxqwg9hbmdj7ncmk1822aa0	1	1	None	True	False	unsolved_valid	0	None
kgateway-consistent-hash-policy	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh74gnp94dw8fx3h047h4m4ht9830bat	1	1	None	False	False	unsolved_valid	0	None
kysely-window-grouping-helpers	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh799f394epg9pb2j9fhzky98183e8ec	1	1	None	True	False	unsolved_valid	0	None
obsidian-linter-auto-table-of-contents	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh74j15mp1vrxx737y8b47tc8h832a37	1	1	None	True	False	unsolved_valid	0	None
obsidian-linter-link-format-conversion	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7anfdjd1c4e5ejxncny0j1ed82xjm4	1	1	None	True	False	unsolved_valid	0	None
obsidian-linter-scoped-ignore-markers	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7fmf1y6r9ajpg3htmaj237h182vztd	1	1	None	True	False	unsolved_valid	0	None
ofetch-per-origin-circuit-breaker	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7aq6h38q4e91mragyvr8cd3n82xxxr	1	1	0	False	True	unsolved_valid	0	0
onedump-dump-encryption-pipeline	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh73t6ych6s1a4vtkbgr61ecr1823tt2	1	1	None	True	False	unsolved_valid	0	None
opa-rego-rule-profiling	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh78zjag0xnxppgym5v4sshav982y8s4	1	1	None	True	False	unsolved_valid	0	None
optique-conditional-option-dependencies	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh79vadftp8bjw2qzqjw8a0b9s82ytpj	1	1	0	False	True	unsolved_valid	0	0
mnamer-daemon-watch-lifecycle	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71jf6d7mtqaw5z1h69krrarx820dys	0	0	None	True	False	task_broken_gold_fail	0	None
opa-template-string-reconstruction	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7eq7eek21pjhv1zx8c2cmmed82yd7v	1	1	None	True	False	unsolved_valid	0	None
participle-grammar-conflict-analysis	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh74m2j63pskf6htk1sxxevvv1823hvd	1	1	None	True	False	unsolved_valid	0	None
narwhals-rolling-window-suite	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7987m8hz4g19ngkk2zfe3v4n82y0e2	0	0	None	True	False	task_broken_gold_fail	0	None
pest-character-class-coalescing	rust	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7bmp04pqht2pcvp8qce1afm582ph2j	1	1	0	False	True	unsolved_valid	0	0
prometheus-typed-label-sorting	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh76dadw64v8013j689380xsg182yhfc	1	1	0	False	True	unsolved_valid	0	0
psd-tools-blend-range-api	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh72dq33t9djm894gqagmgpkhd82yvjv	1	1	0	False	True	unsolved_valid	0	0
pebble-durability-wait-apis	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh786tyr77qk4ycrz24nm2kynh82zaam	1	1	None	True	False	unsolved_valid	0	None
mashumaro-flattened-dataclass-fields	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh70k6aj3y457hgtraar0rmgdn822qx8	1	1	0	False	True	unsolved_valid	0	0
pwntools-tube-multiplexing	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh74mb9dzz76a6zgdqmmf5mvk1833cnk	1	1	0	False	True	unsolved_valid	0	0
eicrud-keyset-pagination-cursor	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh79vgnwnp3wfz0b63ft8zbs81822re8	0	0	None	False	False	task_broken_gold_fail	0	None
returns-validated-error-accumulation	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh754n098chwgtm24jakheqsw5833ec6	1	1	None	True	False	unsolved_valid	0	None
python-statemachine-state-data-scoping	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh719np6e210pf8skawv132rw183pfyy	1	1	0	False	True	unsolved_valid	0	0
scc-bounded-memory-spilling	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71j0gr2axgn6v1f92cam6s6x82rkv6	1	1	0	False	True	unsolved_valid	0	0
scriggo-method-declarations	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7adk413brr6nnvzntz1qvb51833me1	1	1	None	True	False	unsolved_valid	0	None
sql-formatter-bigquery-pipe-formatting	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh712k0bfwxew9fvg12k70g59n83pw33	1	1	None	False	False	unsolved_valid	0	None
prometheus-transactional-reload-status	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7faaexjnnv9h4vt84e0r1v4d82qtv7	0	0	0	False	True	task_broken_gold_fail	0	0
sqlite-utils-safe-import-checkpoints	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh73xpqyc0vqx9prf3m106nqe5821dcb	1	1	None	True	False	unsolved_valid	0	None
query-persist-restored-query-state	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh76g3pdaddrcg12k7jse0xrzn83a5fd	1	1	0	False	True	unsolved_valid	0	0
numba-stencil-boundary-modes	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7ag6w2nh5a47ta6bg7hj2mk1823qwj	1	1	None	False	False	unsolved_valid	0	None
tengo-callable-instance-isolation	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh77n9t7ybdq9387d08jzdp1y183ffe6	1	1	0	False	True	unsolved_valid	0	0
sqlfmt-create-table-ddl-formatting	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71t2fb7qvx4y0svvv77e5p3182hnvq	1	1	None	True	False	unsolved_valid	0	None
tengo-destructuring-bindings	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7ajwvesks1d5kkpeqx7y79sd8238zn	1	1	None	True	False	unsolved_valid	0	None
task-task-graph-export	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7ejvdhks3x059j6jwfncaj4982yxrv	1	1	None	True	False	unsolved_valid	0	None
superjson-error-stack-serialization	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh701jywhzgddknqwzsq6npjv98226tq	1	1	0	False	True	unsolved_valid	0	0
termenv-preserve-ansi-resets	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh731cskx45z0t0961464d9ezx8220nt	1	1	None	True	False	unsolved_valid	0	None
testem-bail-on-test-failure	javascript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh77k18d31qx7jj0c7nyv0xd8s82cznp	1	1	None	True	False	unsolved_valid	0	None
textual-kitty-key-phases	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7b36e22me6fzbav0na7kt14h82wk1m	1	1	0	False	True	unsolved_valid	0	0
tomlkit-toml-table-converters	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7ezsk4ze1jyjta967ypwnxhh83etpm	1	1	0	False	True	unsolved_valid	0	0
textual-richlog-follow-state	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh70247kxfz01g03p1dpz9fqv183g47e	1	1	0	False	True	unsolved_valid	0	0
testem-per-launcher-reports	javascript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7322qjz1xfjspavxy0kamf9h83277p	0	1	0	False	True	task_broken_gold_fail	0	0
ts-pattern-match-each	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh724kgmvy32trvakc1q6a6sa583fdx7	1	1	None	True	False	unsolved_valid	0	None
true-myth-iterable-collection-combinators	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh74r2t7kdnt7h2efdk0hf5asx82zr0s	1	1	0	False	True	unsolved_valid	0	0
updo-policy-alerting	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7dk7mmh6ewnyc9h46wyag19d831gmy	1	1	0	False	True	unsolved_valid	0	0
vulture-persistent-analysis-cache	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7992s6336c7yhv34x198jqy182zpmt	1	1	0	False	True	unsolved_valid	0	0
wazero-multi-module-snapshots	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh77sbk25h3f5383rz7xqx98th822fd4	1	1	None	True	False	unsolved_valid	0	None
valibot-recursive-schema-composition	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh77krxpg096a66tm8s8ztcarn82zzyv	1	1	None	True	False	unsolved_valid	0	None
wasmi-trap-coredumps	rust	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh70h37djmvc9ac48jeh25gwz582xgqv	1	1	None	True	False	unsolved_valid	0	None
yaegi-go-embed-directives	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh73faxghpn90rtyxsrjmpjpsx83f4ws	1	1	None	True	False	unsolved_valid	0	None
yjs-map-conflict-detection	javascript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7fwz4nedevfex8ssk2p8xbt9836scp	1	1	0	False	True	unsolved_valid	0	0
ytt-jsonpath-query-api	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh77w0w2z8qs6m904k2hs9eg058325j8	1	1	0	False	True	unsolved_valid	0	0
quill-shared-toolbar-focus	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh73sgee6751fmh72hwwctyscx832frj	0	0	0	False	True	task_broken_gold_fail	0	0
vitest-duration-sharding	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh788hvxvxaz825205djm3ctth822xms	1	1	None	True	False	unsolved_valid	0	None
oxvg-structural-selector-preservation	rust	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh749pxv8w35vksyfhe7p8tg8x82p0vg	1	1	0	False	True	unsolved_valid	0	0
skrub-duration-encoding	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh77y2107s6xkqyf61mj1dsm0983kmp1	0	0	0	False	True	task_broken_gold_fail	0	0
