task_id	is_resolved	native_is_resolved	failure_mode	parser_results	n_input_tok	n_output_tok	agent_dur_s	test_dur_s	n_episodes	recording_path
configure-git-webserver	RESOLVED	True	unset	test_hello_html_exists=passed	38906	4394	118.5	2.3	8	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/configure-git-webserver/configure-git-webserver.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
constraints-scheduling	UNRESOLVED	False	unset	test_structure_event_title_attendees_duration_window=passed;test_constraints_conflicts_business_hours=failed;test_earliest_tiebreakers_and_carol_buffer=failed	40119	4553	50.6	1.2	8	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/constraints-scheduling/constraints-scheduling.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
count-dataset-tokens	UNRESOLVED	False	unset	test_command_output_content_example=failed	31997	2945	120.3	0.3	8	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/count-dataset-tokens/count-dataset-tokens.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
crack-7z-hash	UNRESOLVED	False	agent_timeout	test_solution_file=failed;test_solution_content=failed	0	0	7500.2	0.4	376	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/crack-7z-hash/crack-7z-hash.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
custom-memory-heap-crash	UNRESOLVED	False	unset	test_protected_files_not_modified=passed;test_program_compiles_debug=passed;test_program_compiles_release=passed;test_debug_build_runs_without_crash=passed;test_no_memory_leaks_with_valgrind=passed;test_release_build_runs_without_crash=failed	15043	2453	40.3	7.7	4	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/custom-memory-heap-crash/custom-memory-heap-crash.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
db-wal-recovery	UNRESOLVED	False	unset	test_recovered_json_exists=passed;test_recovered_json_is_valid=passed;test_recovered_data_structure=passed;test_recovered_data_sorted=passed;test_no_duplicate_ids=passed;test_recovered_data_completeness=failed;test_wal_was_decrypted - AssertionError: Only base data recovered=failed	44794	3644	55.3	0.5	14	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/db-wal-recovery/db-wal-recovery.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
distribution-search	UNRESOLVED	False	unset	test_distribution_file_exists=failed;test_distribution_shape=failed;test_distribution_validity=failed;test_kl_divergences=failed	107288	9134	277.1	0.5	15	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/distribution-search/distribution-search.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
dna-assembly	UNRESOLVED	False	unset	test_primers=failed	85872	6977	735.5	0.3	9	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/dna-assembly/dna-assembly.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
dna-insert	UNRESOLVED	False	agent_timeout	test_primers=failed	0	0	7500.2	0.3	32	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/dna-insert/dna-insert.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
extract-elf	UNRESOLVED	False	unset	test_extract_js_exists=passed;test_output_matches_reference=failed	16370	1291	17.8	0.8	4	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/extract-elf/extract-elf.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
extract-moves-from-video	UNRESOLVED	False	agent_timeout	test_solution_file_exists=failed;test_solution_content_similarity=failed	0	0	7500.2	0.3	1	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/extract-moves-from-video/extract-moves-from-video.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
feal-differential-cryptanalysis	UNRESOLVED	False	agent_timeout	test_feal_differential_cryptanalysis_attack=failed	0	0	7500.3	1.5	34	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/feal-differential-cryptanalysis/feal-differential-cryptanalysis.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
feal-linear-cryptanalysis	UNRESOLVED	False	agent_timeout	test_attack=failed	0	0	7500.2	0.3	23	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/feal-linear-cryptanalysis/feal-linear-cryptanalysis.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
filter-js-from-html	UNRESOLVED	False	unset	test_filter_blocks_xss=failed;test_clean_html_unchanged=failed	39915	4440	51.2	2.0	9	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/filter-js-from-html/filter-js-from-html.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
financial-document-processor	UNRESOLVED	False	unset	test_directories_created=passed;test_summary_csv_exists=passed;test_original_documents_dir_empty=passed;test_invoices_moved_correctly=failed;test_other_documents_moved_correctly=failed;test_summary_csv_structure=failed;test_summary_csv_content=failed	15578	2047	29.0	2.1	6	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/financial-document-processor/financial-document-processor.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
fix-code-vulnerability	UNRESOLVED	False	agent_timeout	test_report_file_exists_example=passed;test_vul_file=passed;test_hkey_basic_cases=passed;test_hkey_real_world_examples=passed;test_cwe_id=failed;test_hkey_error_cases=failed	0	0	7500.2	0.4	241	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/fix-code-vulnerability/fix-code-vulnerability.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
fix-git	UNRESOLVED	False	unset	test_about_file=failed;test_layout_file=failed	21089	2002	51.7	0.4	7	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/fix-git/fix-git.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
fix-ocaml-gc	UNRESOLVED	False	context_length_exceeded	test_tests_output=failed	None	None	5024.8	10.4	191	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/fix-ocaml-gc/fix-ocaml-gc.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
gcode-to-text	UNRESOLVED	False	unset	test_hello_file_exists=passed;test_hello_file_content=failed	5502	1184	15.0	0.4	4	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/gcode-to-text/gcode-to-text.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
git-leak-recovery	UNRESOLVED	False	unset	test_no_secrets_in_commits=passed;test_good_commits_preserved=passed;test_no_secrets_in_unreachable_objects=passed;test_repository_contents_checksum=passed;test_flag_file_exists_and_correct=failed	45000	4404	979.0	0.6	13	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/git-leak-recovery/git-leak-recovery.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
git-multibranch	UNRESOLVED	False	unset	test_multi_branch_https_deploy=failed	141329	7483	253.8	1.4	16	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/git-multibranch/git-multibranch.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
gpt2-codegolf	UNRESOLVED	False	unset	test_gpt2_implementation=failed	17219	2658	31.0	0.9	5	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/gpt2-codegolf/gpt2-codegolf.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
headless-terminal	UNRESOLVED	False	agent_timeout	test_import=failed;test_send_non_interactive_command=failed;test_send_interactive_command=failed;test_cancel_command=failed;test_startup_files=failed;test_shell_state_persists_between_commands=failed;test_background_commands=failed	0	0	7500.0	0.5	176	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/headless-terminal/headless-terminal.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
hf-model-inference	RESOLVED	True	unset	test_model_downloaded=passed;test_flask_api_running=passed;test_sentiment_endpoint=passed;test_api_error_handling=passed	23508	1902	603.1	5.6	6	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/hf-model-inference/hf-model-inference.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
install-windows-3.11	UNRESOLVED	False	unset	test_network_status=passed;test_qemu_running_with_correct_params=passed;test_windows_311_core_files_verification=passed;test_windows_keys_with_visual_feedback=failed	9020	1698	37.4	15.2	4	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/install-windows-3.11/install-windows-3.11.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
kv-store-grpc	UNRESOLVED	False	unset	test_proto_file_creation=passed;test_grpc_tools_installation=passed;test_protobuf_generation=passed;test_server_file_creation=passed;test_real_grpc_server_running - AssertionError: Port 5328 is not listening=failed;test_grpc_protocol_handshake=failed;test_grpc_server_functionality=failed	3544	945	19.7	0.4	2	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/kv-store-grpc/kv-store-grpc.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
large-scale-text-editing	UNRESOLVED	False	unset	test_apply_macros_exists=passed;test_apply_macros_well_formed=passed;test_macros_nonempty_and_efficient=passed;test_apply_macros_runs=failed;test_input_equiv_expected=failed	7038	1358	16.9	600.8	4	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/large-scale-text-editing/large-scale-text-editing.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
largest-eigenval	UNRESOLVED	False	unset	test_eigen_pair[2]=passed;test_eigen_pair[3]=passed;test_eigen_pair[4]=passed;test_eigen_pair[5]=passed;test_eigen_pair[6]=passed;test_eigen_pair[7]=passed;test_eigen_pair[8]=passed;test_eigen_pair[9]=passed;test_eigen_pair[10]=passed;test_dominance_eigenvalue[2]=failed;test_dominance_eigenvalue[3]=failed;test_dominance_eigenvalue[4]=failed;test_dominance_eigenvalue[5]=failed;test_dominance_eigenvalue[6]=failed;test_dominance_eigenvalue[7]=failed;test_dominance_eigenvalue[8]=failed;test_dominance_eigenvalue[9]=failed;test_dominance_eigenvalue[10]=failed;test_speedup[2]=failed;test_speedup[3]=failed;test_speedup[4]=failed;test_speedup[5]=failed;test_speedup[6]=failed;test_speedup[7]=failed;test_speedup[8]=failed;test_speedup[9]=failed;test_speedup[10]=failed	105424	8134	2259.7	0.9	13	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/largest-eigenval/largest-eigenval.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
llm-inference-batching-scheduler	UNRESOLVED	False	unset	test_output_files_exist=passed;test_input_data_integrity=passed;test_generate_and_schema=passed;test_solution_coverage_no_duplicates=passed;test_solution_shape_feasibility_and_batch_consistency=failed;test_performance_thresholds=failed	33084	3431	40.5	0.5	6	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/llm-inference-batching-scheduler/llm-inference-batching-scheduler.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
log-summary-date-ranges	UNRESOLVED	False	unset	test_summary_file_exists=passed;test_summary_structure_and_counts=failed	40383	3512	43.2	0.4	5	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/log-summary-date-ranges/log-summary-date-ranges.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
mailman	UNRESOLVED	null	test_timeout		447899	12949	2138.1	7200.1	30	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/mailman/mailman.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
make-doom-for-mips	UNRESOLVED	False	agent_timeout	test_vm_execution=failed;test_frame_bmp_exists=failed;test_frame_bmp_similar_to_reference=failed	0	0	7500.2	30.4	116	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/make-doom-for-mips/make-doom-for-mips.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
make-mips-interpreter	UNRESOLVED	False	agent_timeout	test_vm_execution=failed;test_frame_bmp_exists=failed;test_frame_bmp_similar_to_reference=failed	0	0	7500.2	30.5	119	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/make-mips-interpreter/make-mips-interpreter.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
mcmc-sampling-stan	UNRESOLVED	False	unset	test_rstan_package_installed=passed;test_hierarchical_model_implemented=passed;test_posterior_alpha_estimation=passed;test_posterior_beta_estimation=passed;test_r_script_created_and_used_rstan=failed;test_stan_model_sampling=failed	16530	2405	68.5	73.1	6	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/mcmc-sampling-stan/mcmc-sampling-stan.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
merge-diff-arc-agi-task	UNRESOLVED	False	agent_timeout	test_git_repo_init=passed;test_both_bundles_fetched=passed;test_algo_py_exists=passed;test_algo_py_has_map_function=failed;test_algo_map_function_with_test_input=failed	0	0	7500.2	0.5	100	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/merge-diff-arc-agi-task/merge-diff-arc-agi-task.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
model-extraction-relu-logits	UNRESOLVED	False	unset	test_stolen_matrix_matches=failed	10028	2275	2400.7	0.9	3	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/model-extraction-relu-logits/model-extraction-relu-logits.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
modernize-scientific-stack	RESOLVED	True	unset	test_modernized_code_runs=passed;test_dependency_file_exists=passed	7223	958	346.3	0.6	4	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/modernize-scientific-stack/modernize-scientific-stack.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
mteb-leaderboard	UNRESOLVED	False	unset	test_result_exists=passed;test_data_matches=failed	4474	1039	14.2	0.3	3	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/mteb-leaderboard/mteb-leaderboard.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
mteb-retrieve	UNRESOLVED	False	unset	test_result_exists=passed;test_data_matches=failed	22436	2344	49.4	0.5	7	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/mteb-retrieve/mteb-retrieve.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
multi-source-data-merger	UNRESOLVED	False	unset	test_output_files_exist=passed;test_conflict_report_values=passed;test_merged_data_exact_values=failed	62054	8649	94.9	1.6	9	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/multi-source-data-merger/multi-source-data-merger.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
nginx-request-logging	UNRESOLVED	False	unset	test_nginx_installed=passed;test_nginx_running=passed;test_index_page_content=passed;test_nginx_config_syntax=passed;test_log_file_creation=passed;test_log_file_format=passed;test_custom_404_page - AssertionError: Expected 'Page not found=failed;test_nginx_config_settings=failed	28265	3138	55.5	2.5	6	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/nginx-request-logging/nginx-request-logging.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
