task_id	is_resolved	failure_mode	parser_results	n_input_tok	n_output_tok	agent_dur_s	test_dur_s	n_episodes	recording_path
adaptive-rejection-sampler	unresolved	unset	test_ars_function_exists=passed;test_has_test_function=passed;test_formal_testing_with_known_truth=passed;test_implementation_is_modular=passed;test_implementation_handles_errors=passed;test_input_validation_functionality=passed;test_log_concavity_functionality=passed;test_can_generate_standard_distribution_samples=failed;test_sample_files_generated=failed	135437	6844	129.7	1.5	15	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/adaptive-rejection-sampler/adaptive-rejection-sampler.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
bn-fit-modify	unresolved	unset	test_learned_dag_structure_exists=passed;test_learned_dag_structure_csv_col_names=passed;test_intervened_dag_structure_exists=passed;test_intervened_dag_structure_csv_col_names=passed;test_bn_sample_exists=failed;test_learned_dag_structure=failed;test_intervened__data_structure=failed;test_sampled_csv_col_names=failed;test_sampled_data=failed	135999	4992	97.0	1.9	21	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/bn-fit-modify/bn-fit-modify.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
break-filter-js-from-html	unresolved	unset	test_out_html_bypasses_filter=failed	764536	13272	228.5	7.1	70	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/break-filter-js-from-html/break-filter-js-from-html.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
build-cython-ext	unresolved	unset	test_numpy_version=passed;test_repo_cloned=failed;test_pyknotid_core_import=failed;test_chelpers_cython_extension=failed;test_ccomplexity_cython_extension=failed;test_cinvariants_cython_extension=failed;test_chelpers=failed;test_ccomplexity=failed;test_cinvariants_python_vs_cython=failed;test_example_usage=failed;test_pyknotid_repository_tests=failed	109587	5352	112.6	0.9	25	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/build-cython-ext/build-cython-ext.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
caffe-cifar-10	unresolved	unset	test_prototxt_files_exist=passed;test_caffe_version_and_source=failed;test_cifar10_model_exists=failed;test_cpu_only_training_configured=failed;test_training_completed_500_iterations=failed;test_model_accuracy_verification=failed	530942	8730	373.5	0.7	63	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/caffe-cifar-10/caffe-cifar-10.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
chess-best-move	unresolved	unset	test_move_correct=failed	43300	2461	48.9	0.4	15	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/chess-best-move/chess-best-move.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
circuit-fibsqrt	unresolved	unset	test_gates_file_exists=passed;test_gates_file_size=passed;test_sqrt_fib=failed	307133	8239	737.1	0.8	34	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/circuit-fibsqrt/circuit-fibsqrt.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
cobol-modernization	unresolved	unset	test_required_files_exist=passed;test_data_files_exist=passed;test_program_output=failed	379955	9085	181.8	0.6	38	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/cobol-modernization/cobol-modernization.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
code-from-image	unresolved	unset	test_output_file_exists=passed;test_output_is_correct=failed	36545	2031	38.3	0.7	16	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/code-from-image/code-from-image.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
compile-compcert	unresolved	unset	test_compcert_exists_and_executable=failed;test_compcert_valid_and_functional=failed;test_compcert_rejects_unsupported_feature=failed	65709	2983	86.7	0.6	22	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/compile-compcert/compile-compcert.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
configure-git-webserver	unresolved	unset	test_hello_html_exists=failed	178769	4597	100.0	2.4	41	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/configure-git-webserver/configure-git-webserver.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
constraints-scheduling	unresolved	unset	test_structure_event_title_attendees_duration_window=passed;test_earliest_tiebreakers_and_carol_buffer=passed;test_constraints_conflicts_business_hours=failed	540952	14467	233.1	0.9	36	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/constraints-scheduling/constraints-scheduling.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
count-dataset-tokens	unresolved	unset	test_command_output_content_example=failed	130741	3774	116.3	0.4	22	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/count-dataset-tokens/count-dataset-tokens.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
crack-7z-hash	unresolved	unset	test_solution_file=passed;test_solution_content=failed	148690	4110	81.9	0.6	29	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/crack-7z-hash/crack-7z-hash.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
custom-memory-heap-crash	unresolved	unset	test_protected_files_not_modified=passed;test_program_compiles_debug=passed;test_program_compiles_release=passed;test_debug_build_runs_without_crash=passed;test_no_memory_leaks_with_valgrind=passed;test_release_build_runs_without_crash=failed	499572	11099	197.0	6.9	47	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/custom-memory-heap-crash/custom-memory-heap-crash.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
db-wal-recovery	unresolved	unset	test_recovered_json_exists=passed;test_recovered_json_is_valid=passed;test_recovered_data_structure=passed;test_recovered_data_sorted=passed;test_no_duplicate_ids=passed;test_recovered_data_completeness=failed;test_wal_was_decrypted=failed	103606	4071	89.5	0.5	27	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/db-wal-recovery/db-wal-recovery.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
distribution-search	unresolved	unset	test_distribution_file_exists=failed;test_distribution_shape=failed;test_distribution_validity=failed;test_kl_divergences=failed	364527	9690	250.9	0.5	37	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/distribution-search/distribution-search.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
dna-assembly	unresolved	unset	test_primers=failed	4379388	20118	422.8	0.5	204	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/dna-assembly/dna-assembly.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
dna-insert	unresolved	unset	test_primers=failed	1017343	10889	171.1	0.4	53	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/dna-insert/dna-insert.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
extract-moves-from-video	unresolved	unset	test_solution_file_exists=passed;test_solution_content_similarity=failed	35575	2033	33.4	0.3	16	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/extract-moves-from-video/extract-moves-from-video.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
feal-differential-cryptanalysis	unresolved	unset	test_feal_differential_cryptanalysis_attack=failed	214292	8160	118.7	1.2	20	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/feal-differential-cryptanalysis/feal-differential-cryptanalysis.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
feal-linear-cryptanalysis	unresolved	unset	test_attack=failed	1316760	12813	210.4	0.6	74	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/feal-linear-cryptanalysis/feal-linear-cryptanalysis.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
filter-js-from-html	unresolved	unset	test_filter_blocks_xss=failed;test_clean_html_unchanged=failed	2411640	20371	370.7	0.9	150	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/filter-js-from-html/filter-js-from-html.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
financial-document-processor	unresolved	unset	test_directories_created=passed;test_summary_csv_exists=passed;test_original_documents_dir_empty=passed;test_invoices_moved_correctly=failed;test_other_documents_moved_correctly=failed;test_summary_csv_structure=failed;test_summary_csv_content=failed	395727	7398	156.7	1.8	44	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/financial-document-processor/financial-document-processor.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
fix-code-vulnerability	unresolved	context_length_exceeded	test_report_file_exists_example=passed;test_vul_file=passed;test_hkey_basic_cases=passed;test_hkey_real_world_examples=passed;test_cwe_id=failed;test_hkey_error_cases=failed	None	None	6204.2	0.4	1834	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/fix-code-vulnerability/fix-code-vulnerability.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
fix-git	unresolved	unset	test_about_file=failed;test_layout_file=failed	177168	5092	98.6	0.6	22	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/fix-git/fix-git.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
fix-ocaml-gc	unresolved	unset	test_tests_output=failed	697437	7996	132.9	21.2	46	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/fix-ocaml-gc/fix-ocaml-gc.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
gcode-to-text	unresolved	unset	test_hello_file_exists=passed;test_hello_file_content=failed	34128	1896	41.3	0.4	13	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/gcode-to-text/gcode-to-text.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
git-multibranch	unresolved	unset	test_multi_branch_https_deploy=failed	681153	9000	233.8	2.3	76	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/git-multibranch/git-multibranch.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
gpt2-codegolf	unresolved	unset	test_gpt2_implementation=failed	267610	10655	204.9	0.9	20	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/gpt2-codegolf/gpt2-codegolf.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
headless-terminal	unresolved	parse_error		119072	4397	103.5	1.9	27	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/headless-terminal/headless-terminal.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
hf-model-inference	unresolved	context_length_exceeded	test_model_downloaded=passed;test_flask_api_running=passed;test_api_error_handling=passed;test_sentiment_endpoint=failed	None	None	5386.6	3.8	1407	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/hf-model-inference/hf-model-inference.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
install-windows-3.11	unresolved	unset	test_qemu_running_with_correct_params=passed;test_windows_311_core_files_verification=passed;test_network_status=failed;test_windows_keys_with_visual_feedback=failed	99902	3689	57.0	11.6	26	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/install-windows-3.11/install-windows-3.11.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
kv-store-grpc	unresolved	unset	test_proto_file_creation=passed;test_grpc_tools_installation=passed;test_protobuf_generation=passed;test_server_file_creation=passed;test_real_grpc_server_running=passed;test_grpc_protocol_handshake=failed;test_grpc_server_functionality=failed	45200	2413	49.9	0.6	14	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/kv-store-grpc/kv-store-grpc.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
large-scale-text-editing	unresolved	unset	test_apply_macros_exists=passed;test_apply_macros_well_formed=passed;test_apply_macros_runs=passed;test_input_equiv_expected=failed;test_macros_nonempty_and_efficient=failed	395593	9226	4537.1	7.9	48	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/large-scale-text-editing/large-scale-text-editing.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
largest-eigenval	unresolved	unset	test_eigen_pair[2]=passed;test_eigen_pair[3]=passed;test_eigen_pair[4]=passed;test_eigen_pair[5]=passed;test_eigen_pair[6]=passed;test_eigen_pair[7]=passed;test_eigen_pair[8]=passed;test_eigen_pair[9]=passed;test_eigen_pair[10]=passed;test_dominance_eigenvalue[2]=passed;test_dominance_eigenvalue[3]=passed;test_dominance_eigenvalue[4]=passed;test_dominance_eigenvalue[5]=passed;test_dominance_eigenvalue[6]=passed;test_dominance_eigenvalue[7]=passed;test_dominance_eigenvalue[8]=passed;test_dominance_eigenvalue[9]=passed;test_dominance_eigenvalue[10]=passed;test_speedup[6]=passed;test_speedup[7]=passed;test_speedup[10]=passed;test_speedup[2]=failed;test_speedup[3]=failed;test_speedup[4]=failed;test_speedup[5]=failed;test_speedup[8]=failed;test_speedup[9]=failed	461700	11902	214.9	0.8	35	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/largest-eigenval/largest-eigenval.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
llm-inference-batching-scheduler	unresolved	context_length_exceeded	test_input_data_integrity=passed;test_output_files_exist=failed;test_generate_and_schema=failed;test_solution_shape_feasibility_and_batch_consistency=failed;test_solution_coverage_no_duplicates=failed;test_performance_thresholds=failed	None	None	6113.7	0.4	249	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/llm-inference-batching-scheduler/llm-inference-batching-scheduler.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
log-summary-date-ranges	unresolved	unset	test_summary_file_exists=passed;test_summary_structure_and_counts=failed	233841	8209	150.0	0.7	20	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/log-summary-date-ranges/log-summary-date-ranges.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
mailman	unresolved	unset	test_simple_local_delivery=failed;test_mlist_exists=failed;test_join_announce_leave_flow=failed	256657	5492	162.1	61.3	23	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/mailman/mailman.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
make-doom-for-mips	unresolved	context_length_exceeded	test_vm_execution=failed;test_frame_bmp_exists=failed;test_frame_bmp_similar_to_reference=failed	None	None	4191.5	30.4	969	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/make-doom-for-mips/make-doom-for-mips.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
make-mips-interpreter	unresolved	unset	test_vm_execution=failed;test_frame_bmp_exists=failed;test_frame_bmp_similar_to_reference=failed	420865	7861	121.1	30.6	35	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/make-mips-interpreter/make-mips-interpreter.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
mcmc-sampling-stan	unresolved	unset	test_rstan_package_installed=passed;test_hierarchical_model_implemented=passed;test_r_script_created_and_used_rstan=passed;test_stan_model_sampling=passed;test_posterior_alpha_estimation=failed;test_posterior_beta_estimation=failed	86379	3675	122.2	83.2	21	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/mcmc-sampling-stan/mcmc-sampling-stan.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
merge-diff-arc-agi-task	unresolved	unset	test_git_repo_init=passed;test_both_bundles_fetched=passed;test_algo_py_exists=passed;test_algo_py_has_map_function=passed;test_algo_map_function_with_test_input=failed	1571999	27024	3011.8	0.4	65	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/merge-diff-arc-agi-task/merge-diff-arc-agi-task.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
model-extraction-relu-logits	unresolved	unset	test_stolen_matrix_matches=failed	61947	5059	675.5	0.6	11	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/model-extraction-relu-logits/model-extraction-relu-logits.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
mteb-leaderboard	unresolved	unset	test_result_exists=passed;test_data_matches=failed	27968	2015	30.9	0.3	11	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/mteb-leaderboard/mteb-leaderboard.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
mteb-retrieve	unresolved	unset	test_result_exists=passed;test_data_matches=failed	291995	5710	121.8	0.5	24	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/mteb-retrieve/mteb-retrieve.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
multi-source-data-merger	unresolved	unset	test_output_files_exist=passed;test_merged_data_exact_values=failed;test_conflict_report_values=failed	164489	5532	102.2	1.5	25	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/multi-source-data-merger/multi-source-data-merger.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
nginx-request-logging	unresolved	unset	test_nginx_installed=passed;test_nginx_running=passed;test_index_page_content=passed;test_custom_404_page=passed;test_nginx_config_syntax=passed;test_log_file_creation=passed;test_nginx_config_settings=failed;test_log_file_format=failed	237565	5879	114.1	2.7	39	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/nginx-request-logging/nginx-request-logging.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
