instance_id	lang	target_ref	gold_reward	agent_reward	status	gold_verifier_rc	agent_verifier_rc	gold_verifier_seconds	agent_verifier_seconds	wall_seconds
cliffy-config-file-parsing	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh72088pg9vkc6peacnkc35yy9832jff	1	0	unsolved_valid	0	0	5.5	0.4	13.8
clack-async-autocomplete-options	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh78c5dwwna57y757p2y5ktw79836dnv	1	0	unsolved_valid	0	0	64.1	46.6	120.0
dasel-html-document-format	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7c7rrg3zke74w7068nawak9x82t6am	1	None	unsolved_valid	0	None	14.2	None	20.5
bandit-interprocedural-taint-checks	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh77yap0nc4zwm5bysc954xbr182tptg	1	0	unsolved_valid	0	0	78.7	75.6	174.3
dateutil-rfc5545-timezone-interop	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7czqrrmrm1vnwfx1nhtjh9as833esn	1	0	unsolved_valid	0	0	7.7	11.4	25.9
dynamodb-toolbox-conditional-attribute-requirements	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh79xyw12drtaz3reht4enc2hs83ef6v	1	None	unsolved_valid	0	None	23.7	None	36.8
dynamodb-toolbox-lazy-recursive-schemas	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh72mtcjbhgxmwq036jccx77dh83dj5n	1	None	unsolved_valid	0	None	20.5	None	26.1
etree-xml-diff-patch	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7e0e2z02keqh6j7db6bcg1c9822140	1	0	unsolved_valid	0	0	6.1	5.2	23.5
expr-try-catch-errors	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71gkadwafw4ry4r6g37era0182qpms	1	0	unsolved_valid	0	0	11.3	9.5	27.5
drizzle-orm-window-function-builders	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh70cshdjenz3z5gq2wrqzhjmn82xbb0	1	0	unsolved_valid	0	0	21.0	19.9	76.4
effect-sse-httpapi-streaming	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7ajcjberhnnhk914qezwwt0x830v6v	1	0	unsolved_valid	0	0	20.1	11.9	60.4
go-critic-doc-link-checker	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh727w7pxd9cv476t3cxptxcg182e1e5	1	0	unsolved_valid	0	0	9.1	6.5	23.4
geo-shapeindex-serialization	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh74gd4v9cty7573mr6k7va39183ngrq	1	0	unsolved_valid	0	0	12.2	13.3	31.9
fastapi-deprecation-response-headers	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh75azsnb5eqs3mf4xm0zkzha582rvcd	1	0	unsolved_valid	0	0	60.5	3.5	73.5
fd-deterministic-multi-key-sorting	rust	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh79s1ny2ab454f8caet44rv5n82za06	1	0	unsolved_valid	0	0	27.9	28.7	64.5
go-git-worktree-merge-conflicts	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7bnb92eb32zvxx50fzjnshes822db0	1	0	unsolved_valid	0	0	11.7	11.4	30.2
fastapi-implicit-head-options	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7191qb52n5pfwh0a4yhahmt18343sn	1	0	unsolved_valid	0	0	60.7	55.8	123.9
goreleaser-retry-publish-auditing	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7cc4hqw7wb87h3kwwnkq0pv1830gjz	1	0	unsolved_valid	0	0	23.7	5.4	73.3
happy-dom-abort-pending-body-reads	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7c2re7cvbseq7xz6samd1xr182y1dc	0	0	task_broken_gold_fail	0	0	18.6	20.6	54.1
happy-dom-deterministic-intersectionobserver	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh75ggdejhnymjbhkbtkxvhz758352br	1	0	unsolved_valid	0	0	11.4	19.3	33.9
gql-incremental-graphql-delivery	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh79vjbp8dv1pyk7t09zdb9xx9821628	1	0	unsolved_valid	0	0	32.1	38.5	77.1
go-genai-streamed-function-args	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7ahy57bb3jmdjzmbvq257swh8353nm	1	None	unsolved_valid	0	None	103.3	None	106.2
httpx-deterministic-cookie-store	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7ccr1w93zymhy42k5hs2m9w1831xpx	0	0	task_broken_gold_fail	0	0	14.0	1.4	26.4
httpx-streaming-json-iteration	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh73snc7v9x3psk69rg4eqvjgs836v5a	0	0	task_broken_gold_fail	0	0	14.4	12.7	35.0
httpx-multipart-response-parsing	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7fr6f1yw1289ye5ttsfvaqen8319dq	0	0	task_broken_gold_fail	0	0	13.3	13.5	38.4
igel-persist-feature-schema	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7brwh7cv23ggeshkz85ac5fx831x5k	1	0	unsolved_valid	0	0	5.7	6.9	15.7
helm-unified-manifest-stream	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7dvkse99x41x83c5z6f2eq7n82w8fm	1	0	unsolved_valid	0	0	30.8	17.3	61.1
katex-multicolumn-array-spans	javascript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7fkjmy67qny9z98mt6bj52m182ygdy	1	None	unsolved_valid	0	None	7.0	None	10.3
ipython-session-bundle-replay	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh75kn07w0t92m4xxd3dy0cgp982jz6m	1	0	unsolved_valid	0	0	3.3	1.1	14.8
helm-array-merge-strategies	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh72a3qcr0kjpdr153havavn8s83bx8t	1	0	unsolved_valid	0	0	37.7	16.9	68.3
kcp-go-multiplexed-kcp-streams	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh72w47mwm321wh9xj47vskc8d822e9t	1	0	unsolved_valid	0	0	12.2	8.3	28.6
kea-atomic-signal-selectors	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7anwezzyc0zgk160c9peh13n82r12z	1	0	unsolved_valid	0	0	19.3	14.4	47.9
ink-grid-box-layout	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh75wxkjyha9441e7m9tpetb2582mn63	1	0	unsolved_valid	0	0	30.8	25.8	69.1
koota-deferred-mutation-buffer	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7evrvtwkk64hraqvefgx9ndd821j43	1	0	unsolved_valid	0	0	4.3	13.9	31.0
kgateway-consistent-hash-policy	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh74gnp94dw8fx3h047h4m4ht9830bat	1	None	unsolved_valid	0	None	64.9	None	93.3
koota-composite-trait-aspects	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh705e1hgmtj22pyetcmqa8ygs83bh33	1	0	unsolved_valid	0	0	16.6	20.4	50.1
koota-entity-snapshot-rollback	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71b98xenay7p45357036xq5x82tcdf	1	0	unsolved_valid	0	0	3.9	2.9	17.6
kombu-single-active-consumer-priority	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71vrtr4b1jj5vavv6aybnvjd83pcar	1	0	unsolved_valid	0	0	47.2	44.8	106.8
kombu-virtual-queue-dead-lettering	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh72pgvncj82fnbfq2bvmy1qs183jdc5	1	0	unsolved_valid	0	0	46.6	44.2	100.0
koota-pair-relation-tracking	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7cshjqfe84fmtb2ye37nrd6h82dds6	1	0	unsolved_valid	0	0	5.0	20.1	28.6
koota-query-predicates	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7dkes3xb054yt1fd3g6nym5s83bz2h	1	0	unsolved_valid	0	0	11.9	11.8	26.2
langchain-request-coalescing	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71y4gxtry9p0m42wvg4th515831mwz	0	0	task_broken_gold_fail	0	0	13.3	3.6	28.0
mobly-grouped-test-barriers	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh74b2m0tjfn59vq8btqrj774s821570	1	0	unsolved_valid	0	0	5.4	2.3	13.7
meriyah-explicit-resource-declarations	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7398skqnxqwg9hbmdj7ncmk1822aa0	1	0	unsolved_valid	0	0	11.5	7.4	37.0
eicrud-keyset-pagination-cursor	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh79vgnwnp3wfz0b63ft8zbs81822re8	0	None	task_broken_gold_fail	0	None	400.7	None	404.3
kysely-window-grouping-helpers	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh799f394epg9pb2j9fhzky98183e8ec	1	0	unsolved_valid	0	0	32.7	17.6	73.0
obsidian-linter-link-format-conversion	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7anfdjd1c4e5ejxncny0j1ed82xjm4	1	None	unsolved_valid	0	None	25.2	None	26.6
mnamer-daemon-watch-lifecycle	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71jf6d7mtqaw5z1h69krrarx820dys	0	0	task_broken_gold_fail	0	0	83.0	8.7	98.5
obsidian-linter-auto-table-of-contents	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh74j15mp1vrxx737y8b47tc8h832a37	1	0	unsolved_valid	0	0	29.6	21.2	62.6
obsidian-linter-scoped-ignore-markers	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7fmf1y6r9ajpg3htmaj237h182vztd	1	0	unsolved_valid	0	0	25.6	21.7	52.1
ofetch-per-origin-circuit-breaker	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7aq6h38q4e91mragyvr8cd3n82xxxr	1	0	unsolved_valid	0	0	17.5	17.7	43.8
onedump-dump-encryption-pipeline	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh73t6ych6s1a4vtkbgr61ecr1823tt2	1	0	unsolved_valid	0	0	18.4	16.7	47.6
optique-conditional-option-dependencies	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh79vadftp8bjw2qzqjw8a0b9s82ytpj	1	0	unsolved_valid	0	0	6.8	6.0	21.6
opa-rego-rule-profiling	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh78zjag0xnxppgym5v4sshav982y8s4	1	0	unsolved_valid	0	0	14.9	14.5	41.3
opa-template-string-reconstruction	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7eq7eek21pjhv1zx8c2cmmed82yd7v	1	None	unsolved_valid	0	None	21.5	None	35.9
participle-grammar-conflict-analysis	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh74m2j63pskf6htk1sxxevvv1823hvd	1	0	unsolved_valid	0	0	12.2	7.1	26.9
mashumaro-flattened-dataclass-fields	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh70k6aj3y457hgtraar0rmgdn822qx8	1	0	unsolved_valid	0	0	109.7	106.8	221.5
pest-character-class-coalescing	rust	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7bmp04pqht2pcvp8qce1afm582ph2j	1	0	unsolved_valid	0	0	26.6	14.1	44.8
narwhals-rolling-window-suite	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7987m8hz4g19ngkk2zfe3v4n82y0e2	0	0	task_broken_gold_fail	0	0	121.6	123.2	255.0
prometheus-typed-label-sorting	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh76dadw64v8013j689380xsg182yhfc	1	0	unsolved_valid	0	0	14.5	10.8	52.5
pebble-durability-wait-apis	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh786tyr77qk4ycrz24nm2kynh82zaam	1	0	unsolved_valid	0	0	87.5	39.1	135.7
pwntools-tube-multiplexing	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh74mb9dzz76a6zgdqmmf5mvk1833cnk	1	0	unsolved_valid	0	0	10.0	1.3	18.0
psd-tools-blend-range-api	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh72dq33t9djm894gqagmgpkhd82yvjv	1	0	unsolved_valid	0	0	18.5	17.1	44.5
numba-stencil-boundary-modes	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7ag6w2nh5a47ta6bg7hj2mk1823qwj	1	None	unsolved_valid	0	None	300.7	None	309.0
python-statemachine-state-data-scoping	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh719np6e210pf8skawv132rw183pfyy	1	0	unsolved_valid	0	0	29.3	2.2	39.3
returns-validated-error-accumulation	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh754n098chwgtm24jakheqsw5833ec6	1	0	unsolved_valid	0	0	5.6	2.3	13.8
prometheus-transactional-reload-status	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7faaexjnnv9h4vt84e0r1v4d82qtv7	0	0	task_broken_gold_fail	0	0	62.9	62.3	154.8
scc-bounded-memory-spilling	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71j0gr2axgn6v1f92cam6s6x82rkv6	1	None	unsolved_valid	0	None	17.1	None	22.0
sql-formatter-bigquery-pipe-formatting	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh712k0bfwxew9fvg12k70g59n83pw33	1	None	unsolved_valid	0	None	10.3	None	20.8
scriggo-method-declarations	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7adk413brr6nnvzntz1qvb51833me1	1	0	unsolved_valid	0	0	23.4	19.3	52.0
query-persist-restored-query-state	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh76g3pdaddrcg12k7jse0xrzn83a5fd	1	0	unsolved_valid	0	0	44.3	11.1	102.7
sqlite-utils-safe-import-checkpoints	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh73xpqyc0vqx9prf3m106nqe5821dcb	1	0	unsolved_valid	0	0	14.3	27.2	47.2
sqlfmt-create-table-ddl-formatting	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71t2fb7qvx4y0svvv77e5p3182hnvq	1	None	unsolved_valid	0	None	64.1	None	68.4
superjson-error-stack-serialization	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh701jywhzgddknqwzsq6npjv98226tq	1	0	unsolved_valid	0	0	26.1	18.8	57.0
tengo-callable-instance-isolation	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh77n9t7ybdq9387d08jzdp1y183ffe6	1	0	unsolved_valid	0	0	8.7	8.4	20.4
termenv-preserve-ansi-resets	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh731cskx45z0t0961464d9ezx8220nt	1	0	unsolved_valid	0	0	5.2	1.2	13.5
tengo-destructuring-bindings	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7ajwvesks1d5kkpeqx7y79sd8238zn	1	0	unsolved_valid	0	0	7.7	4.9	16.2
task-task-graph-export	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7ejvdhks3x059j6jwfncaj4982yxrv	1	0	unsolved_valid	0	0	22.8	19.3	54.9
testem-per-launcher-reports	javascript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7322qjz1xfjspavxy0kamf9h83277p	1	0	unsolved_valid	0	0	9.3	9.0	29.5
testem-bail-on-test-failure	javascript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh77k18d31qx7jj0c7nyv0xd8s82cznp	1	0	unsolved_valid	0	0	10.0	9.7	30.5
textual-kitty-key-phases	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7b36e22me6fzbav0na7kt14h82wk1m	1	0	unsolved_valid	0	0	3.2	2.9	17.3
tomlkit-toml-table-converters	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7ezsk4ze1jyjta967ypwnxhh83etpm	1	0	unsolved_valid	0	0	3.3	1.8	12.4
true-myth-iterable-collection-combinators	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh74r2t7kdnt7h2efdk0hf5asx82zr0s	1	None	unsolved_valid	0	None	7.5	None	21.1
ts-pattern-match-each	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh724kgmvy32trvakc1q6a6sa583fdx7	1	0	unsolved_valid	0	0	6.0	4.8	14.4
textual-richlog-follow-state	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh70247kxfz01g03p1dpz9fqv183g47e	1	0	unsolved_valid	0	0	7.8	26.5	43.6
updo-policy-alerting	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7dk7mmh6ewnyc9h46wyag19d831gmy	1	0	unsolved_valid	0	0	14.2	8.3	32.2
quill-shared-toolbar-focus	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh73sgee6751fmh72hwwctyscx832frj	0	0	task_broken_gold_fail	0	0	127.3	126.8	273.2
vulture-persistent-analysis-cache	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7992s6336c7yhv34x198jqy182zpmt	1	0	unsolved_valid	0	0	7.5	3.3	17.0
wazero-multi-module-snapshots	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh77sbk25h3f5383rz7xqx98th822fd4	1	0	unsolved_valid	0	0	13.0	9.5	33.3
valibot-recursive-schema-composition	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh77krxpg096a66tm8s8ztcarn82zzyv	1	0	unsolved_valid	0	0	33.7	26.6	79.5
wasmi-trap-coredumps	rust	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh70h37djmvc9ac48jeh25gwz582xgqv	1	0	unsolved_valid	0	0	27.0	21.2	58.3
yjs-map-conflict-detection	javascript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7fwz4nedevfex8ssk2p8xbt9836scp	1	0	unsolved_valid	0	0	16.1	16.0	36.5
yaegi-go-embed-directives	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh73faxghpn90rtyxsrjmpjpsx83f4ws	1	0	unsolved_valid	0	0	17.8	18.8	45.0
ytt-jsonpath-query-api	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh77w0w2z8qs6m904k2hs9eg058325j8	1	0	unsolved_valid	0	0	10.4	8.0	28.4
oxvg-structural-selector-preservation	rust	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh749pxv8w35vksyfhe7p8tg8x82p0vg	1	0	unsolved_valid	0	0	251.4	265.5	522.4
vitest-duration-sharding	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh788hvxvxaz825205djm3ctth822xms	1	0	unsolved_valid	0	0	149.4	41.5	219.0
skrub-duration-encoding	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh77y2107s6xkqyf61mj1dsm0983kmp1	0	0	task_broken_gold_fail	0	0	487.0	5.1	499.1
